doc_id,author,title,part_id,n_words,text
Jane Austen::Sense and Sensibility,Jane Austen,Sense and Sensibility,76,243,"Margaret’s sagacity was not always displayed in a way so satisfactory
to her sister. When Mrs. Jennings attacked her one evening at the park,
to give the name of the young man who was Elinor’s particular
favourite, which had been long a matter of great curiosity to her,
Margaret answered by looking at her sister, and saying, “I must not
tell, may I, Elinor?”

This of course made every body laugh; and Elinor tried to laugh too.
 But the effort was painful. She was convinced that Margaret had fixed
on a person whose name she could not bear with composure to become a
standing joke with Mrs. Jennings.

 Marianne felt for her most sincerely; but she did more harm than good
to the cause, by turning very red and saying in an angry manner to
Margaret,

“Remember that whatever your conjectures may be, you have no right to
repeat them.”

 “I never had any conjectures about it,” replied Margaret; “it was you
who told me of it yourself.”

 This increased the mirth of the company, and Margaret was eagerly
pressed to say something more.

 “Oh! pray, Miss Margaret, let us know all about it,” said Mrs.
Jennings. “What is the gentleman’s name?”

“I must not tell, ma’am. But I know very well what it is; and I know
where he is too.”

 “Yes, yes, we can guess where he is; at his own house at Norland to be
sure."
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,367,222,"I was
a-trembling, because I’d got to decide, forever, betwixt two things,
and I knowed it. I studied a minute, sort of holding my breath, and
then says to myself:

“All right, then, I’ll _go_ to hell”—and tore it up.

 It was awful thoughts and awful words, but they was said. And I let
them stay said; and never thought no more about reforming. I shoved the
whole thing out of my head, and said I would take up wickedness again,
which was in my line, being brung up to it, and the other warn’t. And
for a starter I would go to work and steal Jim out of slavery again;
and if I could think up anything worse, I would do that, too; because
as long as I was in, and in for good, I might as well go the whole hog.

 Then I set to thinking over how to get at it, and turned over some
considerable many ways in my mind; and at last fixed up a plan that
suited me. So then I took the bearings of a woody island that was down
the river a piece, and as soon as it was fairly dark I crept out with
my raft and went for it, and hid it there, and then turned in."
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,269,231,"He dressed
Jim up in King Lear’s outfit—it was a long curtain-calico gown, and a
white horse-hair wig and whiskers; and then he took his theater paint
and painted Jim’s face and hands and ears and neck all over a dead,
dull, solid blue, like a man that’s been drownded nine days. Blamed if
he warn’t the horriblest looking outrage I ever see. Then the duke took
and wrote out a sign on a shingle so:

 _Sick Arab—but harmless when not out of his head. _

 And he nailed that shingle to a lath, and stood the lath up four or
five foot in front of the wigwam. Jim was satisfied. He said it was a
sight better than lying tied a couple of years every day, and trembling
all over every time there was a sound. The duke told him to make
himself free and easy, and if anybody ever come meddling around, he
must hop out of the wigwam, and carry on a little, and fetch a howl or
two like a wild beast, and he reckoned they would light out and leave
him alone. Which was sound enough judgment; but you take the average
man, and he wouldn’t wait for him to howl. Why, he didn’t only look
like he was dead, he looked considerable more than that."
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,18,260,"The form of
passion common and likely to seem natural in Miss Austen’s day was so
invariably connected with the display of one or the other, or both of
these qualities, that she has not made Elizabeth outwardly passionate.
 But I, at least, have not the slightest doubt that she would have
married Darcy just as willingly without Pemberley as with it, and
anybody who can read between lines will not find the lovers’
conversations in the final chapters so frigid as they might have looked
to the Della Cruscans of their own day, and perhaps do look to the Della
Cruscans of this. _

_ And, after all, what is the good of seeking for the reason of
charm?--it is there. There were better sense in the sad mechanic
exercise of determining the reason of its absence where it is not. In
the novels of the last hundred years there are vast numbers of young
ladies with whom it might be a pleasure to fall in love; there are at
least five with whom, as it seems to me, no man of taste and spirit can
help doing so. Their names are, in chronological order, Elizabeth
Bennet, Diana Vernon, Argemone Lavington, Beatrix Esmond, and Barbara
Grant. I should have been most in love with Beatrix and Argemone; I
should, I think, for mere occasional companionship, have preferred Diana
and Barbara. But to live with and to marry, I do not know that any one
of the four can come into competition with Elizabeth._

_GEORGE SAINTSBURY. _"
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,115,248,"But the attention of every lady was soon caught by a young man, whom
they had never seen before, of most gentlemanlike appearance, walking
with an officer on the other side of the way. The officer was the very
Mr. Denny concerning whose return from London Lydia came to inquire, and
he bowed as they passed. All were struck with the stranger’s air, all
wondered who he could be; and Kitty and Lydia, determined if possible
to find out, led the way across the street, under pretence of wanting
something in an opposite shop, and fortunately had just gained the
pavement, when the two gentlemen, turning back, had reached the same
spot. Mr. Denny addressed them directly, and entreated permission to
introduce his friend, Mr. Wickham, who had returned with him the day
before from town, and, he was happy to say, had accepted a commission in
their corps. This was exactly as it should be; for the young man wanted
only regimentals to make him completely charming. His appearance was
greatly in his favour: he had all the best parts of beauty, a fine
countenance, a good figure, and very pleasing address. The introduction
was followed up on his side by a happy readiness of conversation--a
readiness at the same time perfectly correct and unassuming; and the
whole party were still standing and talking together very agreeably,
when the sound of horses drew their notice, and Darcy and Bingley were
seen riding down the street."
Mark Twain::The Adventures of Tom Sawyer,Mark Twain,The Adventures of Tom Sawyer,282,241,"Tom whooped until he was hoarse, but it was of no use. He
talked hopefully to Becky; but an age of anxious waiting passed and no
sounds came again.

 The children groped their way back to the spring. The weary time dragged
on; they slept again, and awoke famished and woe-stricken. Tom believed
it must be Tuesday by this time.

 Now an idea struck him. There were some side passages near at hand. It
would be better to explore some of these than bear the weight of the
heavy time in idleness. He took a kite-line from his pocket, tied it to
a projection, and he and Becky started, Tom in the lead, unwinding the
line as he groped along. At the end of twenty steps the corridor ended
in a “jumping-off place.” Tom got down on his knees and felt below,
and then as far around the corner as he could reach with his hands
conveniently; he made an effort to stretch yet a little farther to the
right, and at that moment, not twenty yards away, a human hand, holding
a candle, appeared from behind a rock! Tom lifted up a glorious shout,
and instantly that hand was followed by the body it belonged to—Injun
Joe’s! Tom was paralyzed; he could not move. He was vastly gratified the
next moment, to see the “Spaniard” take to his heels and get himself out
of sight."
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,287,252,"His sisters’ uneasiness had been equally excited
with my own: our coincidence of feeling was soon discovered; and, alike
sensible that no time was to be lost in detaching their brother, we
shortly resolved on joining him directly in London. We accordingly
went--and there I readily engaged in the office of pointing out to my
friend the certain evils of such a choice. I described and enforced them
earnestly. But however this remonstrance might have staggered or delayed
his determination, I do not suppose that it would ultimately have
prevented the marriage, had it not been seconded by the assurance, which
I hesitated not in giving, of your sister’s indifference. He had before
believed her to return his affection with sincere, if not with equal,
regard. But Bingley has great natural modesty, with a stronger
dependence on my judgment than on his own. To convince him, therefore,
that he had deceived himself was no very difficult point. To persuade
him against returning into Hertfordshire, when that conviction had been
given, was scarcely the work of a moment. I cannot blame myself for
having done thus much. There is but one part of my conduct, in the whole
affair, on which I do not reflect with satisfaction; it is that I
condescended to adopt the measures of art so far as to conceal from him
your sister’s being in town. I knew it myself, as it was known to Miss
Bingley; but her brother is even yet ignorant of it."
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,434,193,"I _never_ see the beat of it
in all my born days. A shirt, and a sheet, and a spoon, and six can—”

“Missus,” comes a young yaller wench, “dey’s a brass cannelstick
miss’n.”

“Cler out from here, you hussy, er I’ll take a skillet to ye!”

 Well, she was just a-biling. I begun to lay for a chance; I reckoned I
would sneak out and go for the woods till the weather moderated. She
kept a-raging right along, running her insurrection all by herself, and
everybody else mighty meek and quiet; and at last Uncle Silas, looking
kind of foolish, fishes up that spoon out of his pocket. She stopped,
with her mouth open and her hands up; and as for me, I wished I was in
Jeruslem or somewheres. But not long, because she says:

“It’s _ just_ as I expected. So you had it in your pocket all the time;
and like as not you’ve got the other things there, too. How’d it get
there?”

“I reely don’t know, Sally,” he says, kind of apologizing, “or you know
I would tell."
Mark Twain::A Connecticut Yankee in King Arthur's Court,Mark Twain,A Connecticut Yankee in King Arthur's Court,251,266,"My idea was to disguise myself as a freeman of peasant degree
and wander through the country a week or two on foot. This would
give me a chance to eat and lodge with the lowliest and poorest
class of free citizens on equal terms. There was no other way
to inform myself perfectly of their everyday life and the operation
of the laws upon it. If I went among them as a gentleman, there
would be restraints and conventionalities which would shut me out
from their private joys and troubles, and I should get no further
than the outside shell.

 One morning I was out on a long walk to get up muscle for my trip,
and had climbed the ridge which bordered the northern extremity
of the valley, when I came upon an artificial opening in the face
of a low precipice, and recognized it by its location as a hermitage
which had often been pointed out to me from a distance as the den
of a hermit of high renown for dirt and austerity. I knew he had
lately been offered a situation in the Great Sahara, where lions
and sandflies made the hermit-life peculiarly attractive and
difficult, and had gone to Africa to take possession, so I thought
I would look in and see how the atmosphere of this den agreed
with its reputation.

 My surprise was great: the place was newly swept and scoured.
 Then there was another surprise. Back in the gloom of the cavern
I heard the clink of a little bell, and then this exclamation:

“Hello Central!"
Jane Austen::Emma,Jane Austen,Emma,502,220,"In the meanwhile the lame horse recovered so fast, that the party to
Box Hill was again under happy consideration; and at last Donwell was
settled for one day, and Box Hill for the next,—the weather appearing
exactly right.

 Under a bright mid-day sun, at almost Midsummer, Mr. Woodhouse was
safely conveyed in his carriage, with one window down, to partake of
this al-fresco party; and in one of the most comfortable rooms in the
Abbey, especially prepared for him by a fire all the morning, he was
happily placed, quite at his ease, ready to talk with pleasure of what
had been achieved, and advise every body to come and sit down, and not
to heat themselves.—Mrs. Weston, who seemed to have walked there on
purpose to be tired, and sit all the time with him, remained, when all
the others were invited or persuaded out, his patient listener and
sympathiser.

 It was so long since Emma had been at the Abbey, that as soon as she
was satisfied of her father’s comfort, she was glad to leave him, and
look around her; eager to refresh and correct her memory with more
particular observation, more exact understanding of a house and grounds
which must ever be so interesting to her and all her family."
